State,Period,Population (thousands),Labor Force (thousands),Labor Force Participation Rate (LFPR) (%),LFPR compared to pre-pandemic levels (%),Employment (thousands),Unemployment (thousands),Unemployment compared to pre-pandemic levels (%),Unemployment Rate (%),Job Openings (thousands),Job Openings compared to pre-pandemic levels (%),Labor Shortage or Surplus (thousands),Available Worker Ratio,Quits (thousands),Quit Rate (%),Hires (thousands),Hire Rate (%)
Hawaii,5/1/2026,1133,690,60.8,-0.5,672,17,16.6,2.5,,,,,,,,
Idaho,5/1/2026,1616,1002,62.0,-2.1,966,37,42.8,3.7,,,,,,,,
Illinois,5/1/2026,10269,6543,63.7,-0.5,6206,336,35.6,5.1,,,,,,,,
Indiana,5/1/2026,5524,3490,63.2,-1.0,3376,114,-2.7,3.3,,,,,,,,
Iowa,5/1/2026,2571,1732,67.4,-1.8,1676,56,21.6,3.2,,,,,,,,
Kansas,5/1/2026,2329,1565,67.2,0.1,1505,60,28.8,3.8,,,,,,,,
Kentucky,5/1/2026,3646,2097,57.5,-1.1,2004,93,9.7,4.5,,,,,,,,
Louisiana,5/1/2026,3607,2120,58.8,0.8,2025,95,-2.6,4.5,,,,,,,,
Maine,5/1/2026,1189,704,59.2,-2.8,682,22,-0.8,3.1,,,,,,,,
Maryland,5/1/2026,5021,3207,63.9,-5.4,3065,142,23.4,4.4,,,,,,,,
Massachusetts,5/1/2026,5932,3880,65.4,-0.9,3703,177,49.7,4.5,,,,,,,,
Michigan,5/1/2026,8243,4931,59.8,-1.5,4680,251,35.1,5.1,,,,,,,,
Minnesota,5/1/2026,4672,3138,67.2,-2.8,2999,139,26.2,4.4,,,,,,,,
Mississippi,5/1/2026,2328,1288,55.3,-0.7,1238,49,-32.5,3.8,,,,,,,,
Missouri,5/1/2026,5002,3171,63.4,-0.6,3052,119,13.4,3.8,,,,,,,,
Montana,5/1/2026,933,575,61.7,-2.0,556,20,1.3,3.4,,,,,,,,
Nebraska,5/1/2026,1579,1101,69.8,-0.3,1069,33,3.3,3.0,,,,,,,,
Nevada,5/1/2026,2672,1694,63.4,-0.8,1605,89,29.8,5.2,,,,,,,,
New Hampshire,5/1/2026,1192,777,65.2,-3.0,753,24,19.7,3.0,,,,,,,,
