State,Period,Population (thousands),Labor Force (thousands),Labor Force Participation Rate (LFPR) (%),LFPR compared to pre-pandemic levels (%),Employment (thousands),Unemployment (thousands),Unemployment compared to pre-pandemic levels (%),Unemployment Rate (%),Job Openings (thousands),Job Openings compared to pre-pandemic levels (%),Labor Shortage or Surplus (thousands),Available Worker Ratio,Quits (thousands),Quit Rate (%),Hires (thousands),Hire Rate (%)
North Dakota,12/1/2020,594,408,68.6,-0.7,390,18,96.4,4.4,20,-13.0,-2,0.89,10,2.4,17,4.2
Ohio,12/1/2020,9312,5731,61.5,-2.0,5370,362,35.2,6.3,257,-0.8,105,1.41,123,2.3,224,4.2
Oklahoma,12/1/2020,3039,1857,61.1,0.3,1760,96,66.2,5.2,83,6.4,13,1.16,44,2.7,64,3.9
Oregon,12/1/2020,3444,2137,62.1,1.1,1998,140,87.5,6.5,84,-25.0,56,1.66,46,2.5,70,3.9
Pennsylvania,12/1/2020,10457,6493,62.1,-0.7,6001,492,63.4,7.6,246,-4.3,246,2.00,97,1.7,205,3.7
Rhode Island,12/1/2020,897,571,63.7,-0.6,531,40,90.6,7.0,22,-4.3,18,1.81,10,2.2,18,3.9
South Carolina,12/1/2020,4075,2361,57.9,0.1,2246,115,69.1,4.9,122,17.3,-7,0.95,55,2.6,95,4.5
South Dakota,12/1/2020,677,467,68.9,-0.3,453,14,22.1,3.0,23,9.5,-9,0.61,10,2.3,19,4.4
Tennessee,12/1/2020,5470,3325,60.8,-0.6,3138,187,62.0,5.6,156,-4.9,31,1.20,87,2.8,127,4.1
Texas,12/1/2020,22301,14147,63.4,-0.4,13168,979,95.0,6.9,546,3.2,433,1.79,371,3.0,493,4.0
Utah,12/1/2020,2445,1666,68.2,-0.1,1606,60,48.1,3.6,78,2.6,-18,0.77,35,2.2,64,4.1
Vermont,12/1/2020,536,331,61.8,-4.1,317,14,84.4,4.3,14,-12.5,0,1.01,6,2.1,12,4.2
Virginia,12/1/2020,6766,4299,63.5,-2.1,4082,216,69.3,5.0,212,-0.5,4,1.02,85,2.2,161,4.1
Washington,12/1/2020,6129,3853,62.9,-2.6,3594,259,73.6,6.7,136,-17.6,123,1.91,59,1.8,121,3.7
West Virginia,12/1/2020,1441,772,53.6,-1.4,722,50,17.5,6.4,46,4.5,4,1.08,20,3.0,29,4.3
Wisconsin,12/1/2020,4699,3116,66.3,0.2,2965,151,57.5,4.8,123,-17.4,28,1.23,54,1.9,93,3.3
Wyoming,12/1/2020,452,292,64.6,-1.2,276,16,15.5,5.4,16,-5.9,0,0.99,7,2.5,14,5.1
Alabama,11/1/2020,3963,2267,57.2,0.0,2157,109,47.7,4.8,100,1.0,9,1.09,51,2.5,94,4.7
Alaska,11/1/2020,544,345,63.3,-1.1,321,24,28.8,7.0,21,-8.7,3,1.16,8,2.6,19,6.2
Arizona,11/1/2020,5699,3504,61.5,-0.5,3269,235,39.2,6.7,152,-4.4,83,1.54,79,2.7,115,4.0
Arkansas,11/1/2020,2345,1330,56.7,-1.2,1262,68,42.3,5.1,62,6.9,6,1.10,35,2.8,62,4.9
California,11/1/2020,31126,18646,59.9,-3.1,16965,1681,95.4,9.0,711,-8.4,970,2.36,267,1.6,579,3.6
Colorado,11/1/2020,4601,3090,67.2,-1.5,2897,193,93.5,6.2,108,-12.9,85,1.79,65,2.4,101,3.8
Connecticut,11/1/2020,2909,1825,62.7,-3.6,1687,138,85.0,7.5,62,-11.4,76,2.22,25,1.6,48,3.0
Delaware,11/1/2020,798,488,61.1,0.1,461,26,52.3,5.4,20,-9.1,6,1.31,12,2.7,20,4.5
District of Columbia,11/1/2020,546,379,69.3,-2.1,348,30,31.8,8.0,30,-9.1,0,1.01,13,1.8,21,2.9
Florida,11/1/2020,17576,10060,57.2,-2.1,9410,650,110.2,6.5,409,0.2,241,1.59,224,2.6,355,4.1
Georgia,11/1/2020,8318,5186,62.4,-0.5,4909,277,46.3,5.3,253,11.5,24,1.09,130,2.9,217,4.9
Hawaii,11/1/2020,1126,655,58.2,-3.2,586,69,360.2,10.5,32,23.1,37,2.15,10,1.8,32,5.9
Idaho,11/1/2020,1438,911,63.4,-0.8,873,39,50.6,4.2,40,0.0,-1,0.97,20,2.6,36,4.7
Illinois,11/1/2020,10094,6278,62.2,-2.0,5786,492,98.3,7.8,265,1.5,227,1.86,122,2.2,232,4.1
Indiana,11/1/2020,5295,3353,63.3,-0.9,3177,175,50.1,5.2,155,4.0,20,1.13,73,2.4,137,4.5
Iowa,11/1/2020,2497,1649,66.0,-3.1,1580,69,48.8,4.2,69,-6.8,0,0.99,32,2.1,62,4.1
Kansas,11/1/2020,2250,1508,67.0,-0.1,1438,70,49.6,4.6,64,-8.6,6,1.09,29,2.1,47,3.5
Kentucky,11/1/2020,3521,2000,56.8,-1.8,1904,95,11.9,4.8,102,15.9,-7,0.93,63,3.4,102,5.5
Louisiana,11/1/2020,3575,2053,57.4,-0.6,1897,157,61.3,7.6,97,-1.0,60,1.61,53,2.9,102,5.5
Maine,11/1/2020,1132,670,59.2,-2.8,644,26,17.3,3.9,28,-12.5,-2,0.93,12,2.0,24,3.9
Maryland,11/1/2020,4866,3184,65.4,-3.9,2974,210,82.3,6.6,144,-4.6,66,1.46,51,2.0,127,4.9
Massachusetts,11/1/2020,5726,3747,65.4,-0.9,3455,292,147.6,7.8,156,-16.1,136,1.87,56,1.6,110,3.2
Michigan,11/1/2020,8052,4805,59.7,-1.7,4463,342,84.3,7.1,217,2.8,125,1.58,101,2.5,195,4.7
Minnesota,11/1/2020,4484,3109,69.3,-0.6,2950,158,43.8,5.1,124,3.3,34,1.27,52,1.9,90,3.2
Mississippi,11/1/2020,2278,1257,55.2,-0.8,1174,83,13.9,6.6,63,16.7,20,1.32,34,3.0,56,5.0
Missouri,11/1/2020,4834,3038,62.8,-1.2,2883,155,47.2,5.1,128,2.4,27,1.21,65,2.3,111,4.0
Montana,11/1/2020,870,544,62.5,-1.2,520,24,21.7,4.3,26,-3.7,-2,0.91,13,2.7,22,4.6
Nebraska,11/1/2020,1504,1040,69.1,-1.0,1009,31,-3.5,3.0,53,8.2,-22,0.58,25,2.5,46,4.6
Nevada,11/1/2020,2474,1508,60.9,-3.2,1353,154,126.0,10.2,64,3.2,90,2.41,39,3.0,62,4.8
New Hampshire,11/1/2020,1142,758,66.4,-1.9,721,37,86.6,4.9,31,-13.9,6,1.19,12,1.8,24,3.7
New Jersey,11/1/2020,7383,4592,62.2,-2.3,4261,331,69.7,7.2,223,18.0,108,1.48,84,2.2,187,4.8
New Mexico,11/1/2020,1668,933,56.0,-1.8,855,78,53.9,8.4,39,-9.3,39,2.00,17,2.1,29,3.7
New York,11/1/2020,16141,9505,58.9,-2.0,8656,850,105.9,8.9,324,-18.0,526,2.62,120,1.4,266,3.0
North Carolina,11/1/2020,8236,4853,58.9,-2.5,4569,284,49.7,5.9,229,0.0,55,1.24,136,3.0,205,4.6
North Dakota,11/1/2020,594,409,68.8,-0.6,390,19,104.5,4.5,19,-17.4,0,0.98,11,2.7,17,4.2
Ohio,11/1/2020,9314,5730,61.5,-2.0,5361,368,37.6,6.4,253,-2.3,115,1.46,126,2.4,224,4.2
Oklahoma,11/1/2020,3037,1856,61.1,0.3,1757,99,70.0,5.3,86,10.3,13,1.15,39,2.4,68,4.2
Oregon,11/1/2020,3443,2133,62.0,1.0,1993,140,88.1,6.6,107,-4.5,33,1.31,36,2.0,82,4.5
Pennsylvania,11/1/2020,10454,6507,62.2,-0.6,5998,509,69.0,7.8,262,1.9,247,1.94,105,1.9,197,3.5
Rhode Island,11/1/2020,897,569,63.4,-0.8,529,40,91.4,7.0,23,0.0,17,1.74,9,1.9,22,4.7
South Carolina,11/1/2020,4070,2361,58.0,0.2,2242,120,75.2,5.1,123,18.3,-3,0.97,69,3.3,106,5.0
South Dakota,11/1/2020,677,466,68.9,-0.3,452,14,25.3,3.1,22,4.8,-8,0.66,9,2.1,18,4.2
Tennessee,11/1/2020,5466,3325,60.8,-0.6,3129,196,70.2,5.9,150,-8.5,46,1.31,84,2.7,135,4.4
Texas,11/1/2020,22274,14117,63.4,-0.5,13134,982,95.7,7.0,557,5.3,425,1.76,314,2.6,561,4.6
Utah,11/1/2020,2440,1664,68.2,-0.1,1601,63,54.8,3.8,76,0.0,-13,0.83,36,2.3,62,4.0
Vermont,11/1/2020,536,331,61.7,-4.1,317,14,80.9,4.2,13,-18.8,1,1.07,6,2.1,11,3.8
Virginia,11/1/2020,6764,4303,63.6,-2.0,4074,229,79.3,5.3,205,-3.8,24,1.12,96,2.5,185,4.8
Washington,11/1/2020,6127,3851,62.9,-2.6,3584,267,78.5,6.9,143,-13.3,124,1.87,58,1.8,107,3.3
West Virginia,11/1/2020,1441,772,53.6,-1.4,721,51,21.0,6.6,45,2.3,6,1.14,20,3.0,33,4.9
Wisconsin,11/1/2020,4698,3114,66.3,0.1,2960,154,61.2,5.0,122,-18.1,32,1.27,56,2.0,122,4.3
Wyoming,11/1/2020,452,292,64.7,-1.1,276,16,17.1,5.5,14,-17.6,2,1.15,7,2.6,11,4.0
Alabama,10/1/2020,3961,2273,57.4,0.2,2155,119,60.3,5.2,103,4.0,16,1.15,60,3.0,99,4.9
Alaska,10/1/2020,544,344,63.1,-1.3,319,25,31.2,7.2,22,-4.3,3,1.12,5,1.6,20,6.5
Arizona,10/1/2020,5690,3497,61.5,-0.5,3253,244,44.5,7.0,154,-3.1,90,1.58,69,2.4,124,4.3
Arkansas,10/1/2020,2343,1332,56.8,-1.1,1260,72,49.3,5.4,59,1.7,13,1.22,38,3.0,60,4.8
California,10/1/2020,31139,18610,59.8,-3.3,16888,1722,100.2,9.3,685,-11.7,1037,2.51,313,1.9,662,4.1
Colorado,10/1/2020,4597,3074,66.9,-1.8,2884,190,90.6,6.2,107,-13.7,83,1.78,58,2.2,120,4.5
Connecticut,10/1/2020,2906,1833,63.1,-3.2,1688,145,94.2,7.9,62,-11.4,83,2.33,27,1.7,56,3.5
Delaware,10/1/2020,797,485,60.8,-0.2,459,25,46.5,5.2,21,-4.5,4,1.20,13,2.9,20,4.5
District of Columbia,10/1/2020,546,380,69.5,-1.9,348,31,36.7,8.3,27,-18.2,4,1.16,14,1.9,18,2.5
Florida,10/1/2020,17555,10036,57.2,-2.1,9339,697,125.5,6.9,411,0.7,286,1.70,272,3.2,348,4.1
Georgia,10/1/2020,8310,5196,62.5,-0.4,4904,292,54.5,5.6,241,6.2,51,1.21,126,2.8,216,4.9
Hawaii,10/1/2020,1126,643,57.2,-4.2,571,73,386.3,11.3,32,23.1,41,2.27,11,2.1,37,7.0
Idaho,10/1/2020,1434,908,63.4,-0.8,868,40,56.5,4.4,38,-5.0,2,1.06,21,2.7,40,5.2
Illinois,10/1/2020,10098,6269,62.1,-2.1,5756,513,106.9,8.2,264,1.1,249,1.94,118,2.1,227,4.0
Indiana,10/1/2020,5292,3347,63.2,-0.9,3159,188,60.9,5.6,146,-2.0,42,1.29,67,2.2,113,3.7
Iowa,10/1/2020,2496,1642,65.8,-3.4,1572,70,51.2,4.2,72,-2.7,-2,0.97,37,2.4,57,3.8
Kansas,10/1/2020,2249,1507,67.0,-0.1,1433,74,59.0,4.9,68,-2.9,6,1.09,29,2.1,47,3.5
Kentucky,10/1/2020,3521,1996,56.7,-1.9,1900,96,13.0,4.8,101,14.8,-5,0.95,73,3.9,111,6.0
Louisiana,10/1/2020,3575,2052,57.4,-0.6,1888,164,68.6,8.0,105,7.1,59,1.56,49,2.7,96,5.2
Maine,10/1/2020,1131,665,58.8,-3.2,640,25,12.9,3.8,29,-9.4,-4,0.86,11,1.8,27,4.4
Maryland,10/1/2020,4865,3186,65.5,-3.8,2973,213,85.4,6.7,150,-0.7,63,1.42,53,2.0,97,3.7
Massachusetts,10/1/2020,5723,3751,65.6,-0.8,3437,315,166.9,8.4,150,-19.4,165,2.10,59,1.7,118,3.5
Michigan,10/1/2020,8052,4827,60.0,-1.4,4458,369,98.8,7.7,198,-6.2,171,1.87,117,2.8,195,4.7
Minnesota,10/1/2020,4482,3132,69.9,-0.1,2960,172,56.2,5.5,122,1.7,50,1.41,51,1.8,97,3.5
Mississippi,10/1/2020,2278,1254,55.1,-0.9,1169,85,15.8,6.7,60,11.1,25,1.41,32,2.9,58,5.2
Missouri,10/1/2020,4832,3044,63.0,-1.0,2880,164,55.5,5.4,130,4.0,34,1.26,64,2.3,114,4.1
Montana,10/1/2020,869,544,62.6,-1.1,519,25,29.5,4.6,25,-7.4,0,1.00,12,2.5,26,5.4
Nebraska,10/1/2020,1503,1040,69.2,-0.9,1008,32,0.5,3.1,49,0.0,-17,0.65,26,2.6,40,4.0
Nevada,10/1/2020,2471,1507,61.0,-3.2,1339,168,145.6,11.1,77,24.2,91,2.18,31,2.4,75,5.8
New Hampshire,10/1/2020,1141,758,66.5,-1.8,718,40,102.4,5.3,32,-11.1,8,1.25,12,1.9,26,4.0
New Jersey,10/1/2020,7381,4553,61.7,-2.8,4229,324,65.9,7.1,212,12.2,112,1.53,104,2.7,219,5.6
New Mexico,10/1/2020,1667,931,55.9,-1.9,853,78,54.0,8.4,40,-7.0,38,1.95,18,2.3,36,4.5
New York,10/1/2020,16154,9485,58.7,-2.2,8612,874,111.7,9.2,325,-17.7,549,2.69,128,1.4,302,3.4
North Carolina,10/1/2020,8225,4841,58.9,-2.5,4546,295,55.5,6.1,256,11.8,39,1.15,127,2.8,246,5.5
North Dakota,10/1/2020,594,409,68.9,-0.4,390,20,117.0,4.8,20,-13.0,0,0.98,11,2.7,18,4.4
Ohio,10/1/2020,9315,5723,61.4,-2.1,5337,386,44.2,6.7,259,0.0,127,1.49,130,2.5,217,4.1
Oklahoma,10/1/2020,3035,1853,61.1,0.3,1752,102,75.4,5.5,84,7.7,18,1.21,44,2.7,75,4.6
Oregon,10/1/2020,3441,2130,61.9,0.9,1985,145,94.8,6.8,91,-18.8,54,1.59,39,2.1,83,4.5
Pennsylvania,10/1/2020,10450,6513,62.3,-0.5,5984,528,75.5,8.1,286,11.3,242,1.85,79,1.4,183,3.2
Rhode Island,10/1/2020,896,565,63.0,-1.2,526,40,89.3,7.0,24,4.3,16,1.65,9,1.9,24,5.1
South Carolina,10/1/2020,4065,2359,58.0,0.2,2233,126,84.4,5.3,122,17.3,4,1.03,67,3.2,104,4.9
South Dakota,10/1/2020,676,466,68.9,-0.3,451,15,31.7,3.3,24,14.3,-9,0.63,10,2.3,18,4.2
Tennessee,10/1/2020,5462,3317,60.7,-0.7,3108,210,82.0,6.3,151,-7.9,59,1.39,79,2.6,141,4.6
Texas,10/1/2020,22244,14074,63.3,-0.6,13076,998,98.9,7.1,550,4.0,448,1.81,318,2.6,546,4.5
Utah,10/1/2020,2435,1661,68.2,-0.1,1594,67,64.6,4.0,67,-11.8,0,1.00,36,2.3,78,5.0
Vermont,10/1/2020,536,331,61.8,-4.1,317,14,86.7,4.3,15,-6.3,-1,0.96,6,2.1,13,4.5
Virginia,10/1/2020,6761,4311,63.8,-1.9,4059,253,97.8,5.9,210,-1.4,43,1.20,91,2.3,175,4.5
Washington,10/1/2020,6124,3852,62.9,-2.5,3570,282,88.9,7.3,129,-21.8,153,2.19,57,1.7,118,3.6
West Virginia,10/1/2020,1442,772,53.6,-1.4,719,54,27.5,7.0,46,4.5,8,1.17,20,3.0,34,5.1
Wisconsin,10/1/2020,4698,3110,66.2,0.1,2949,161,68.5,5.2,131,-12.1,30,1.23,62,2.2,105,3.7
Wyoming,10/1/2020,451,293,64.9,-0.9,276,16,20.3,5.6,15,-11.8,1,1.10,7,2.6,14,5.1
Alabama,9/1/2020,3958,2280,57.6,0.4,2146,135,81.7,5.9,101,2.0,34,1.33,64,3.2,84,4.2
Alaska,9/1/2020,544,343,63.1,-1.4,317,27,41.9,7.8,22,-4.3,5,1.21,7,2.4,21,7.1
Arizona,9/1/2020,5681,3493,61.5,-0.5,3230,262,55.5,7.5,157,-1.3,105,1.67,80,2.8,146,5.1
Arkansas,9/1/2020,2341,1336,57.1,-0.8,1256,79,64.9,5.9,55,-5.2,24,1.44,36,2.9,55,4.4
California,9/1/2020,31149,18658,59.9,-3.1,16803,1855,115.7,9.9,666,-14.2,1189,2.79,302,1.9,707,4.4
Colorado,9/1/2020,4593,3058,66.6,-2.1,2865,194,94.0,6.3,115,-7.3,79,1.68,60,2.3,121,4.6
Connecticut,9/1/2020,2903,1852,63.8,-2.5,1689,164,119.8,8.8,56,-20.0,108,2.92,25,1.6,59,3.7
Delaware,9/1/2020,796,494,62.0,1.0,456,38,118.4,7.6,23,4.5,15,1.64,10,2.3,20,4.5
District of Columbia,9/1/2020,546,381,69.7,-1.7,348,33,42.4,8.6,24,-27.3,9,1.36,12,1.6,17,2.3
Florida,9/1/2020,17530,10048,57.3,-2.0,9248,799,158.5,8.0,391,-4.2,408,2.04,221,2.6,321,3.8
Georgia,9/1/2020,8302,4945,59.6,-3.3,4626,319,68.6,6.5,235,3.5,84,1.36,127,2.9,203,4.6
Hawaii,9/1/2020,1125,623,55.3,-6.0,540,83,455.2,13.3,18,-30.8,65,4.62,21,4.1,17,3.3
Idaho,9/1/2020,1429,907,63.4,-0.7,862,45,75.3,5.0,36,-10.0,9,1.25,16,2.1,37,4.9
Illinois,9/1/2020,10100,6283,62.2,-2.0,5714,569,129.2,9.1,240,-8.0,329,2.37,123,2.2,240,4.2
Indiana,9/1/2020,5289,3345,63.3,-0.9,3129,216,85.3,6.5,150,0.7,66,1.44,82,2.7,116,3.9
Iowa,9/1/2020,2494,1637,65.6,-3.5,1561,76,64.6,4.6,68,-8.1,8,1.12,32,2.1,69,4.6
Kansas,9/1/2020,2248,1507,67.0,-0.1,1425,82,74.8,5.4,61,-12.9,21,1.34,29,2.1,48,3.5
Kentucky,9/1/2020,3520,1991,56.6,-2.0,1891,100,17.5,5.0,92,4.5,8,1.09,58,3.1,104,5.6
Louisiana,9/1/2020,3576,2056,57.5,-0.5,1876,180,85.4,8.7,96,-2.0,84,1.87,61,3.4,80,4.4
Maine,9/1/2020,1129,662,58.6,-3.4,635,27,19.5,4.0,33,3.1,-6,0.80,9,1.5,27,4.5
Maryland,9/1/2020,4863,3198,65.8,-3.5,2970,228,97.8,7.1,144,-4.6,84,1.58,42,1.6,71,2.7
Massachusetts,9/1/2020,5719,3768,65.9,-0.4,3406,362,207.0,9.6,132,-29.0,230,2.74,46,1.4,111,3.3
Michigan,9/1/2020,8051,4874,60.5,-0.8,4439,436,134.4,8.9,201,-4.7,235,2.17,104,2.5,191,4.7
Minnesota,9/1/2020,4480,3157,70.5,0.5,2962,194,76.8,6.2,113,-5.8,81,1.72,40,1.4,82,3.0
Mississippi,9/1/2020,2277,1249,54.9,-1.1,1161,88,20.6,7.1,57,5.6,31,1.55,36,3.2,52,4.7
Missouri,9/1/2020,4829,3055,63.3,-0.7,2875,181,71.6,5.9,113,-9.6,68,1.60,77,2.8,111,4.0
Montana,9/1/2020,867,545,62.8,-0.9,516,28,45.4,5.2,26,-3.7,2,1.08,11,2.3,27,5.7
Nebraska,9/1/2020,1503,1041,69.3,-0.8,1006,36,12.3,3.4,47,-4.1,-11,0.76,24,2.4,39,3.9
Nevada,9/1/2020,2468,1512,61.3,-2.9,1320,193,182.1,12.7,70,12.9,123,2.75,37,2.9,84,6.6
New Hampshire,9/1/2020,1140,760,66.7,-1.5,714,46,135.2,6.1,30,-16.7,16,1.55,9,1.4,25,3.9
New Jersey,9/1/2020,7378,4521,61.3,-3.2,4185,335,71.9,7.4,187,-1.1,148,1.79,84,2.2,175,4.5
New Mexico,9/1/2020,1666,930,55.8,-2.0,850,80,58.9,8.7,42,-2.3,38,1.92,16,2.0,37,4.7
New York,9/1/2020,16165,9517,58.9,-2.0,8551,966,134.1,10.2,311,-21.3,655,3.11,125,1.4,312,3.6
North Carolina,9/1/2020,8213,4841,58.9,-2.4,4512,329,73.3,6.8,238,3.9,91,1.38,96,2.2,243,5.5
North Dakota,9/1/2020,594,410,69.1,-0.2,389,22,137.7,5.3,18,-21.7,4,1.20,11,2.7,17,4.2
Ohio,9/1/2020,9314,5723,61.4,-2.1,5291,432,61.4,7.6,236,-8.9,196,1.83,118,2.2,208,3.9
Oklahoma,9/1/2020,3032,1852,61.1,0.3,1742,110,89.8,5.9,69,-11.5,41,1.60,41,2.5,64,4.0
Oregon,9/1/2020,3439,2130,62.0,1.0,1971,159,114.0,7.5,96,-14.3,63,1.66,36,2.0,77,4.2
Pennsylvania,9/1/2020,10444,6525,62.5,-0.3,5955,569,89.1,8.7,263,2.3,306,2.16,101,1.8,215,3.8
Rhode Island,9/1/2020,896,579,64.6,0.4,521,58,176.2,10.0,18,-21.7,40,3.20,9,1.9,19,4.1
South Carolina,9/1/2020,4059,2357,58.1,0.2,2220,138,101.7,5.8,125,20.2,13,1.10,62,3.0,103,4.9
South Dakota,9/1/2020,675,466,69.0,-0.2,449,17,46.1,3.6,22,4.8,-5,0.77,9,2.1,18,4.2
Tennessee,9/1/2020,5457,3310,60.7,-0.8,3075,236,104.5,7.1,148,-9.8,88,1.59,84,2.8,146,4.9
Texas,9/1/2020,22212,14059,63.3,-0.6,12982,1077,114.7,7.7,598,13.0,479,1.80,339,2.8,550,4.5
Utah,9/1/2020,2430,1658,68.2,-0.1,1583,75,83.5,4.5,66,-13.2,9,1.13,36,2.3,68,4.4
Vermont,9/1/2020,535,332,62.0,-3.9,315,16,109.4,4.9,16,0.0,0,1.01,5,1.7,14,4.8
Virginia,9/1/2020,6757,4324,64.0,-1.6,4035,289,126.4,6.7,186,-12.7,103,1.55,81,2.1,152,3.9
Washington,9/1/2020,6120,3863,63.1,-2.3,3546,317,112.0,8.2,119,-27.9,198,2.66,50,1.5,106,3.3
West Virginia,9/1/2020,1442,774,53.7,-1.3,715,59,40.0,7.6,44,0.0,15,1.34,21,3.2,32,4.8
Wisconsin,9/1/2020,4696,3112,66.3,0.1,2931,181,88.9,5.8,123,-17.4,58,1.47,53,1.9,113,4.0
Wyoming,9/1/2020,451,293,65.1,-0.7,276,17,27.3,5.9,14,-17.6,3,1.25,6,2.2,15,5.5
Alabama,8/1/2020,3956,2273,57.5,0.2,2129,144,94.5,6.3,105,6.1,39,1.37,51,2.6,86,4.3
Alaska,8/1/2020,544,343,63.0,-1.4,313,29,55.8,8.6,20,-13.0,9,1.47,8,2.8,18,6.2
Arizona,8/1/2020,5672,3472,61.2,-0.8,3197,275,63.1,7.9,154,-3.1,121,1.79,65,2.3,124,4.4
Arkansas,8/1/2020,2340,1334,57.0,-0.9,1250,85,76.3,6.4,57,-1.7,28,1.49,33,2.6,54,4.3
California,8/1/2020,31161,18911,60.7,-2.3,16674,2237,160.1,11.8,654,-15.7,1583,3.42,267,1.7,631,4.0
Colorado,8/1/2020,4589,3022,65.9,-2.8,2835,187,87.4,6.2,111,-10.5,76,1.68,62,2.4,111,4.2
Connecticut,8/1/2020,2900,1864,64.3,-2.0,1685,179,140.1,9.6,56,-20.0,123,3.19,21,1.3,60,3.9
Delaware,8/1/2020,794,487,61.3,0.2,451,36,108.1,7.4,24,9.1,12,1.49,12,2.7,22,5.0
District of Columbia,8/1/2020,546,380,69.5,-2.0,347,32,41.3,8.5,32,-3.0,0,1.01,13,1.8,25,3.4
Florida,8/1/2020,17506,9989,57.1,-2.3,9127,862,178.8,8.6,373,-8.6,489,2.31,192,2.3,312,3.7
Georgia,8/1/2020,8295,4945,59.6,-3.3,4607,338,78.7,6.8,255,12.3,83,1.33,159,3.6,215,4.9
Hawaii,8/1/2020,1125,673,59.8,-1.6,585,87,484.6,13.0,20,-23.1,67,4.37,12,2.3,18,3.4
Idaho,8/1/2020,1425,902,63.3,-0.9,853,49,91.2,5.4,35,-12.5,14,1.40,17,2.2,35,4.6
Illinois,8/1/2020,10103,6252,61.9,-2.3,5645,607,144.5,9.7,232,-11.1,375,2.61,111,2.0,242,4.3
Indiana,8/1/2020,5286,3321,62.8,-1.3,3081,240,105.0,7.2,141,-5.4,99,1.70,66,2.2,127,4.2
Iowa,8/1/2020,2493,1629,65.3,-3.8,1548,82,76.8,5.0,63,-14.9,19,1.29,35,2.3,62,4.1
Kansas,8/1/2020,2247,1500,66.7,-0.4,1413,87,85.8,5.8,64,-8.6,23,1.36,25,1.8,51,3.8
Kentucky,8/1/2020,3519,1977,56.2,-2.4,1874,103,20.5,5.2,98,11.4,5,1.05,54,2.9,92,5.0
Louisiana,8/1/2020,3577,2042,57.1,-0.9,1855,187,93.2,9.2,98,0.0,89,1.91,50,2.8,84,4.6
Maine,8/1/2020,1127,656,58.2,-3.9,628,27,23.1,4.2,26,-18.8,1,1.05,12,2.1,27,4.6
Maryland,8/1/2020,4861,3188,65.6,-3.7,2959,229,99.3,7.2,144,-4.6,85,1.59,45,1.8,98,3.8
Massachusetts,8/1/2020,5716,3746,65.5,-0.8,3358,388,229.2,10.4,133,-28.5,255,2.92,43,1.3,134,4.0
Michigan,8/1/2020,8051,4884,60.7,-0.7,4396,489,163.0,10.0,220,4.3,269,2.22,107,2.6,207,5.1
Minnesota,8/1/2020,4478,3164,70.7,0.7,2952,212,92.8,6.7,119,-0.8,93,1.78,42,1.5,100,3.6
Mississippi,8/1/2020,2277,1239,54.4,-1.6,1147,92,25.6,7.4,64,18.5,28,1.43,38,3.4,61,5.5
Missouri,8/1/2020,4826,3059,63.4,-0.6,2865,195,84.9,6.4,116,-7.2,79,1.68,68,2.5,120,4.3
Montana,8/1/2020,865,542,62.7,-1.0,512,30,57.5,5.6,24,-11.1,6,1.27,14,3.0,23,4.9
Nebraska,8/1/2020,1502,1040,69.3,-0.8,1001,40,25.0,3.8,44,-10.2,-4,0.91,23,2.3,39,4.0
Nevada,8/1/2020,2464,1501,60.9,-3.3,1292,209,205.9,13.9,66,6.5,143,3.16,24,1.9,77,6.1
New Hampshire,8/1/2020,1139,757,66.4,-1.8,706,51,158.0,6.7,30,-16.7,21,1.70,10,1.6,25,3.9
New Jersey,8/1/2020,7376,4755,64.5,0.0,4121,633,224.7,13.3,165,-12.7,468,3.84,63,1.7,184,4.9
New Mexico,8/1/2020,1665,923,55.4,-2.4,844,79,56.2,8.6,34,-20.9,45,2.33,18,2.3,26,3.3
New York,8/1/2020,16177,9483,58.6,-2.3,8455,1028,149.2,10.8,348,-11.9,680,2.95,129,1.5,322,3.8
North Carolina,8/1/2020,8202,4810,58.6,-2.7,4456,354,86.6,7.4,219,-4.4,135,1.62,106,2.4,228,5.2
North Dakota,8/1/2020,594,410,69.0,-0.3,387,23,152.5,5.6,18,-21.7,5,1.27,9,2.2,19,4.7
Ohio,8/1/2020,9314,5692,61.1,-2.4,5219,473,76.7,8.3,250,-3.5,223,1.89,101,1.9,224,4.3
Oklahoma,8/1/2020,3030,1842,60.8,0.0,1725,117,101.1,6.3,85,9.0,32,1.37,41,2.5,65,4.0
Oregon,8/1/2020,3437,2116,61.6,0.6,1948,168,125.6,7.9,97,-13.4,71,1.73,36,2.0,69,3.8
Pennsylvania,8/1/2020,10439,6505,62.3,-0.5,5902,603,100.2,9.3,254,-1.2,349,2.37,78,1.4,206,3.7
Rhode Island,8/1/2020,895,573,64.0,-0.2,514,59,184.5,10.4,19,-17.4,40,3.13,7,1.5,19,4.1
South Carolina,8/1/2020,4054,2345,57.8,0.0,2199,146,113.7,6.2,119,14.4,27,1.23,59,2.8,109,5.3
South Dakota,8/1/2020,674,464,68.8,-0.4,446,18,58.2,3.9,19,-9.5,-1,0.96,9,2.1,16,3.8
Tennessee,8/1/2020,5452,3280,60.2,-1.3,3029,251,117.6,7.6,138,-15.9,113,1.82,86,2.9,145,4.9
Texas,8/1/2020,22181,13962,62.9,-0.9,12838,1124,123.9,8.0,474,-10.4,650,2.37,270,2.2,541,4.5
